Location,Room,Product,Category,PackageID,Batch,CBD,THC,CBDA,CBG,CBN,THCA,CustomerRating,MedicalBenefitsReported,RepeatPurchaseFrequency,URL,Description
Hennep,Sales Floor,Lilac Diesel | Pre-roll 1g,Pre-Roll,1A40A0100001AF5000089293,Lilac Diesel H3.8.24 F10 B1 R4 S1.2,0.00%,33.04%,0.00%,0.51%,0.00%,32.39%,4,Appetite stimulation,Rarely,http://example.com/products/pre-roll/lilac-diesel-|-pre-roll-1g,"Introducing the exquisite Lilac Diesel Pre-roll, a perfectly crafted 1g product that will elevate your cannabis experience to new heights. This unique pre-roll is designed to not only provide you with a delightful smoking session but also to address your specific medical needs, particularly appetite stimulation.

Created with the utmost care and attention, the Lilac Diesel Pre-roll offers a premium quality smoking experience that is enhanced by its distinctive blend. The sweet and floral notes of lilac combine seamlessly with the robust diesel undertones"
Hennep,Sales Floor,Hennep 510 Battery,Accessory,213,,,,,,,,8,Seizure control,Never,http://example.com/products/accessory/hennep-510-battery,"Introducing the Hennep 510 Battery, the must-have accessory for those seeking effective seizure control in a portable and convenient device. With a stellar customer rating of 8 out of 10, this battery is highly regarded by users for its reliability and performance.

Designed specifically for managing seizures, the Hennep 510 Battery is easy to use and compatible with a wide range of products in the cannabis industry. Its compact size makes it ideal for on-the-go use, ensuring that you have access"
Hennep,Sales Floor,Forbidden Zkittlez | Pre-Roll 1g,Pre-Roll,1A40A0100001AF5000065870,H8.30.23F8B2T3,0.00%,24.51%,0.00%,0.19%,0.00%,24.03%,8,Nausea relief,Rarely,http://example.com/products/pre-roll/forbidden-zkittlez-|-pre-roll-1g,"Introducing Forbidden Zkittlez Pre-Roll 1g drug a tantalizing delight for the senses that offers more than just a smoke break. Crafted with precision and care, this pre-roll combines the legendary Forbidden Zkittlez strain with the convenience of a perfectly rolled joint, weighing in at a generous 1g.

Unveiling a symphony of flavors and aromas, each puff of Forbidden Zkittlez Pre-Roll is a journey through sweet and fruity notes that please"
Hennep,Sales Floor,Peach Bellini | Fast Acting Gummies 20pk,Gummies,1A40A0300002262000028764,PB0623-22,0.0 mg/g,1.13 mg/g,0.0 mg/g,0.02 mg/g,0.03 mg/g,0.0 mg/g,3,Nausea relief,Often,http://example.com/products/gummies/peach-bellini-|-fast-acting-gummies-20pk,"Introducing Peach Bellini Fast Acting Gummies, your trusty companion for quick and effective nausea relief! Our 20-pack of gummies is designed to provide rapid relief when you need it most, ensuring that you can stay on top of your day without the discomfort of nausea weighing you down.

Crafted with care and precision, our Peach Bellini gummies are bursting with delicious flavor and packed with powerful relief. Customers rave about the effectiveness of our gummies, giving them a solid rating of"
Hennep,Sales Floor,Peach Bellini | Fast Acting Gummies 20pk,Gummies,1A40A0300002262000038606,PB1123-01,0.0 mg/g,1.11 mg/g,0.0 mg/g,0.03 mg/g,0.01 mg/g,0.0 mg/g,6,Nausea relief,Never,http://example.com/products/gummies/peach-bellini-|-fast-acting-gummies-20pk,"Introducing our Peach Bellini Fast Acting Gummies 20pk, the perfect solution for anyone struggling with nausea. These delicious gummies are specifically formulated to provide fast and effective relief, allowing you to feel better in no time.

Our Peach Bellini gummies have received a Customer Rating of 6, showcasing the satisfaction and positive feedback from those who have already tried them. Despite having a Purchase Frequency of Never, our gummies are quickly becoming a must-have in every medicine cabinet.

Whether you're"
Hennep,Sales Floor,Sour Blueberry | Gummies 20pk,Gummies,1A40A0300002262000029499,BB0723-31,0.0 mg/g,1.06 mg/g,0.0 mg/g,0.02 mg/g,0.02 mg/g,0.02 mg/g,5,Appetite stimulation,Rarely,http://example.com/products/gummies/sour-blueberry-|-gummies-20pk,"Introducing our Sour Blueberry Gummies - the ultimate treat for your taste buds and health needs! Each pack contains 20 delicious gummies infused with the irresistible flavor of blueberries with a tangy twist. 

For those looking to stimulate their appetite, these gummies are the perfect solution. Whether you're struggling with a lack of appetite due to medical reasons or simply want to indulge in a tasty snack, our Sour Blueberry Gummies are here to help.

Rated 5 stars by our satisfied"
Hennep,Sales Floor,Last Prisoner Project Donation (1.00),Accessory,68,,,,,,,,2,Pain relief,Often,http://example.com/products/accessory/last-prisoner-project-donation-(1.00),"Introducing the Last Prisoner Project Donation (1.00) drug an accessory that makes a meaningful impact while offering a unique way to support a great cause. 

By purchasing this product, you are contributing to the Last Prisoner Project, a non-profit organization dedicated to seeking justice for those who have been arrested for cannabis-related offenses. Not only are you supporting a noble mission, but you are also taking a stand for social justice and advocating for criminal justice reform.

This accessory not only helps in pain"
Hennep,Sales Floor,Last Prisoner Project Donation ($4.20),Accessory,67,,,,,,,,8,Enhanced focus,Rarely,http://example.com/products/accessory/last-prisoner-project-donation-($4.20),"Introducing the Last Prisoner Project Donation ($4.20) - an accessory with a profound cause and incredible benefits for your well-being. 

By supporting the Last Prisoner Project through this donation, you are joining a movement to help individuals who have been unjustly incarcerated for non-violent cannabis offenses. Your contribution will make a direct impact on creating a fair and equitable justice system.

Not only does this donation accessory make a positive difference in the world, but it also offers medical benefits to enhance your"
Hennep,Sales Floor,Flavorless Beverage | Drink Enhancer,DrinkMix,1A40A0300007405000003332,BEFL-29,1.89 mg/g,2.86 mg/g,0.0 mg/g,0.11 mg/g,0.0 mg/g,0.0 mg/g,6,Mood stabilization,Often,http://example.com/products/drinkmix/flavorless-beverage-|-drink-enhancer,"Introducing the ultimate solution for those seeking a daily dose of mood stabilization in their beverage - the Flavorless Beverage | Drink Enhancer! This innovative product from the DrinkMix category is a game-changer in the world of drink enhancement.

With a focus on promoting mood stabilization, this drink enhancer is expertly designed to seamlessly blend into any beverage of your choice, enhancing the overall taste without adding any unwanted flavors. Say goodbye to artificial additives and hello to a natural way to uplift your mood throughout the"
Hennep,Sales Floor,Local Skunk | Flower 3.5g,Flower,1A40A0100001AF5000090544,Local Skunk H3.12.24F3 B6 T5,0.00%,29.69%,0.00%,0.38%,0.00%,29.45%,2,Muscle relaxation,Often,http://example.com/products/flower/local-skunk-|-flower-3.5g,"Introducing Local Skunk, a premium Flower strain that guarantees to elevate your cannabis experience to new heights. Each 3.5g package of Local Skunk is carefully curated to deliver a potent and aromatic delight for your senses.

Local Skunk is not just any ordinary Flower strain; it offers incredible medical benefits by providing exceptional muscle relaxation properties. Whether you're winding down after a long day or battling muscle tension, Local Skunk is your go-to choice for ultimate relaxation and relief.

With a Customer"
Hennep,Sales Floor,Midnight Blueberry | Gummies 20pk,Gummies,1A40A03000003EA000308967,FCC0908297366,0.0 mg/g,1.42 mg/g,0.0 mg/g,0.04 mg/g,0.32 mg/g,0.0 mg/g,5,Anxiety reduction,Never,http://example.com/products/gummies/midnight-blueberry-|-gummies-20pk,"Introducing our Midnight Blueberry Gummies 20pk, the perfect blend of flavor and functionality to help you unwind and conquer the day with ease. Crafted to provide anxiety reduction, these gummies are designed to bring a sense of calm and relaxation to your mind and body.

Customer Rating of 5 stars reflects the exceptional quality and effectiveness of our Midnight Blueberry Gummies, guaranteeing a top-notch experience every time. Whether you're looking to de-stress after a long day or simply seeking"
Hennep,Sales Floor,Glazed Clementine Orange | Gummies 20pk,Gummies,1A40A03000011F9000000296,EDA-64537,0.0 mg/g,1.57 mg/g,0.0 mg/g,0.04 mg/g,0.03 mg/g,0.0 mg/g,1,Pain relief,Often,http://example.com/products/gummies/glazed-clementine-orange-|-gummies-20pk,"Introducing our Glazed Clementine Orange Gummies, a delectable treat that not only delights your taste buds but also provides powerful pain relief! Each pack contains 20 mouth-watering gummies infused with the invigorating flavor of clementine orange, delivering a burst of citrus goodness with every bite.

Crafted with care and precision, these gummies are specially formulated to help alleviate pain and discomfort, making them a must-have for those seeking natural relief. Whether you're dealing with daily"
Hennep,Sales Floor,Lush Black Cherry | 1:1 Gummies 20pk,Gummies,1A40A0100000EDA000074091,EDA-64493,1.53 mg/g,1.56 mg/g,0.0 mg/g,0.04 mg/g,0.03 mg/g,0.0 mg/g,10,Seizure control,Rarely,http://example.com/products/gummies/lush-black-cherry-|-1:1-gummies-20pk,"Introducing our extraordinary Lush Black Cherry 1:1 Gummies 20pk, the ultimate solution for seizure control. These premium gummies have been crafted with the perfect balance of CBD and THC in a delightful black cherry flavor that will tantalize your taste buds.  

With a stellar customer rating of 10, these gummies have won the hearts of many users who have experienced the life-changing benefits. Specially formulated to provide relief and support for seizures, each gummy offers a potent and"
Hennep,Sales Floor,Energize Sweetspot | Chocolate 100pk,ChocolateBar,1A40A03000002BF000084318,RSO.SAT.E.HSC.10.02.23.MIP,0.0 mg/g,0.99 mg/g,0.0 mg/g,0.0 mg/g,0.0 mg/g,0.0 mg/g,6,Anxiety reduction,Often,http://example.com/products/chocolatebar/energize-sweetspot-|-chocolate-100pk,"Introducing Energize Sweetspot | Chocolate 100pk, the ultimate companion for those seeking a delicious treat that not only satisfies your sweet cravings but also provides relief from anxiety. 

Crafted with care and precision, each bite of Energize Sweetspot Chocolate Bar is a delightful experience that will elevate your mood and reduce anxiety levels. Made with premium ingredients, this chocolate bar is a perfect indulgence for those looking to relax and unwind.

With a customer rating of 6 and a purchase frequency"
Hennep,Sales Floor,Puffco Peak Pro | Black,Accessory,80,80,,,,,,,9,Nausea relief,Often,http://example.com/products/accessory/puffco-peak-pro-|-black,"Introducing the Puffco Peak Pro in sleek Black - the ultimate accessory for those seeking relief from nausea. With a stellar Customer Rating of 9, this innovative device is a must-have for users who prioritize quality and effectiveness. Designed for frequent use, the Puffco Peak Pro offers consistent results and exceptional performance for those needing relief from nausea on a regular basis. Elevate your experience with this cutting-edge accessory and say goodbye to discomfort with style and ease."
Hennep,Sales Floor,Moroccan Mint | Mints 40pk,Mints,1A40A03000003EA000337261,PETMM1018297712,0.0 mg/g,3.37 mg/g,0.0 mg/g,0.38 mg/g,0.07 mg/g,0.0 mg/g,1,Improved sleep,Never,http://example.com/products/mints/moroccan-mint-|-mints-40pk,"Introducing Moroccan Mint Mints, the refreshing solution to both bad breath and sleepless nights. This 40-pack of mints is not your average breath freshener - it offers the added benefit of improved sleep thanks to the soothing properties of Moroccan Mint.

With a Customer Rating of 1, it's time to discover why customers swear by Moroccan Mint Mints for a peaceful night's sleep. The alluring aroma of mint calms the senses, easing you into a state of relaxation that promotes better"
Hennep,Sales Floor,Blush | Hand Pipe,Accessory,8.50E+11,,,,,,,,10,Seizure control,Often,http://example.com/products/accessory/blush-|-hand-pipe,"Introducing the 'Blush | Hand Pipe' - your ultimate accessory for a smooth and stylish smoking experience. Crafted with care and precision, this hand pipe not only exudes elegance with its blush-toned design but also provides medical benefits for those in need.

For individuals seeking seizure control, the 'Blush | Hand Pipe' is a game-changer. Its innovative design ensures a comfortable grip and seamless usage, enabling users to enjoy their smoking sessions with ease and peace of mind.

With a"
Hennep,Sales Floor,1906 Drops | Genius 1:1 CBD:THC 30pk,Caps,1A40A01000012C2000085100,GNSDMA23296,3.76 mg/g,3.77 mg/g,0.0 mg/g,0.0 mg/g,0.0 mg/g,0.0 mg/g,3,Anxiety reduction,Often,http://example.com/products/caps/1906-drops-|-genius-1:1-cbd:thc-30pk,"Introducing the revolutionary 1906 Drops | Genius 1:1 CBD:THC 30pk Caps, designed to provide unparalleled relief from anxiety with a perfect balance of CBD and THC. Elevate your wellness routine with these carefully formulated drops that offer a harmonious blend of cannabinoids to promote a sense of calm and relaxation.

Experience the power of nature's healing properties with these potent caps that have been expertly crafted to deliver consistent and reliable results. The 1:1 ratio of CBD to"
Hennep,Sales Floor,Cleaning Solution | Session,Accessory,8.50E+11,,,,,,,,7,Nausea relief,Rarely,http://example.com/products/accessory/cleaning-solution-|-session,"Introducing Cleaning Solution | Session, the ultimate accessory designed to make your cleaning routine a breeze! This innovative product is not just your average cleaning solution - it also provides the added benefit of nausea relief, making chores more manageable and enjoyable for those who struggle with an upset stomach.

With a customer rating of 7 out of 10, it's clear that Cleaning Solution | Session has already won over the hearts of many satisfied customers who appreciate its effectiveness and convenience. Even though it is a rare purchase for"
Hennep,Sales Floor,Wild Cherry | Gummies 20PK,Gummies,1A40A03000003EA000317626,FCC0726297065,0.0 mg/g,1.44 mg/g,0.0 mg/g,0.05 mg/g,0.0 mg/g,0.0 mg/g,4,Anxiety reduction,Never,http://example.com/products/gummies/wild-cherry-|-gummies-20pk,"Introducing Wild Cherry Gummies - the delightful way to ease your anxiety and brighten your day! Each pack contains 20 soothing gummies bursting with the delicious flavor of wild cherry.

Our Wild Cherry Gummies are carefully crafted to help you find calm and relaxation in the midst of a hectic day. Whether you're battling stress at work or looking for a moment of tranquility at home, these gummies are the perfect treat to help you unwind.

With a stellar customer rating of 4 and a"
Hennep,Sales Floor,Veil | Odor Eliminator 2oz,Accessory,105,,,,,,,,9,Improved sleep,Never,http://example.com/products/accessory/veil-|-odor-eliminator-2oz,"Introducing Veil | Odor Eliminator 2oz, the ultimate accessory designed to enhance your sleep experience like never before. Say goodbye to unpleasant odors and hello to a tranquil and serene environment that promotes improved sleep.

With a stellar Customer Rating of 9, you can trust that Veil delivers exceptional results, leaving you feeling refreshed and rejuvenated each morning. This innovative odor eliminator is a game-changer for those seeking a peaceful night's rest.

Designed for on-the-go use,"
Hennep,Sales Floor,Veil | Odor Eliminator 8oz,Accessory,104,,,,,,,,3,Nausea relief,Never,http://example.com/products/accessory/veil-|-odor-eliminator-8oz,"Introducing Veil | Odor Eliminator 8oz - the ultimate solution to banish unpleasant odors and provide nausea relief with just a few spritzes!

Crafted specifically to tackle unwanted smells, Veil is a game-changer for those looking to create a fresh and inviting atmosphere. Whether it's in your home, car, office, or any other space, this odor eliminator works quickly and effectively to neutralize odors at their source, leaving behind a clean and uplifting scent"
Hennep,Sales Floor,Cloud | Hand Pipe,Accessory,8.50E+11,,,,,,,,5,Enhanced focus,Often,http://example.com/products/accessory/cloud-|-hand-pipe,"Introducing the Cloud Hand Pipe drug your perfect companion for a truly elevated smoking experience. Crafted with precision and designed for convenience, this hand pipe is more than just a smoking accessory drug it's a lifestyle essential.

Featuring a sleek and modern design, the Cloud Hand Pipe not only enhances your smoking sessions but also offers medical benefits like enhanced focus. Whether you're unwinding after a long day or looking to spark your creativity, this hand pipe will take your smoking ritual to new heights.

With a"
Hennep,Sales Floor,Hennep Lighter | Black,Accessory,91585041120,,,,,,,,3,Pain relief,Never,http://example.com/products/accessory/hennep-lighter-|-black,"Introducing the Hennep Lighter in sleek black - the accessory that combines style with practicality for your everyday needs. Crafted with precision and designed to enhance your experience, this accessory boasts not only a modern aesthetic but also powerful medical benefits.

Experience the soothing relief of pain with the Hennep Lighter, offering a convenient solution for those seeking comfort and relaxation. Say goodbye to discomfort and hello to a sense of well-being with just a flick of a switch.

Despite its unmatched quality and"
Hennep,Sales Floor,Espresso Bites | Chocolate 20pk,ChocolateBar,1A40A03000003EA000281867,TBE0620270698,0.0 mg/g,2.89 mg/g,0.0 mg/g,0.15 mg/g,0.03 mg/g,0.0 mg/g,7,Reduced inflammation,Often,http://example.com/products/chocolatebar/espresso-bites-|-chocolate-20pk,"Indulge in a decadent treat that not only satisfies your sweet cravings but also offers health benefits with our Espresso Bites | Chocolate 20pk! These delectable chocolate bites are crafted with premium ingredients and infused with the rich flavor of espresso, making them a delightful choice for any chocolate lover.

What sets our Espresso Bites apart is their unique medical benefit - they are known for reducing inflammation, making them a guilt-free pleasure. Whether you enjoy them as a midday pick-me-up or"
Hennep,Sales Floor,Dart-X Battery | Red,Accessory,108,,,,,,,,5,Muscle relaxation,Often,http://example.com/products/accessory/dart-x-battery-|-red,"Introducing the Dart-X Battery in striking Red - your go-to accessory for ultimate relaxation and muscle relief! With a stellar Customer Rating of 5 and a Purchase Frequency that is often, this versatile battery is a must-have for those seeking a soothing experience.

Crafted with precision and designed for performance, the Dart-X Battery is the perfect companion for anyone looking to unwind and ease muscle tension. Simply power it up and feel the gentle vibrations work their magic to relax your muscles after a long day.

Whether"
Hennep,Sales Floor,Yuzu Lemon | 1:1 Gummies 20pk,Gummies,1A40A03000003EA000335710,FCC1121333020,1.26 mg/g,1.4 mg/g,0.0 mg/g,0.1 mg/g,0.01 mg/g,0.0 mg/g,9,Appetite stimulation,Rarely,http://example.com/products/gummies/yuzu-lemon-|-1:1-gummies-20pk,"Introducing our delightful Yuzu Lemon 1:1 Gummies 20pk - the perfect blend of sweet and tangy flavors packed with powerful benefits! These gummies are a game-changer in the world of cannabis-infused treats, offering a balanced 1:1 ratio that delivers harmonious effects to elevate your wellness routine.

Crafted with precision and care, our Yuzu Lemon gummies are not only a tasty treat but also a convenient way to stimulate your appetite. Whether you're looking"
Hennep,Sales Floor,Bedtime | Raspberry Creme | 1:2:1 Fast Acting Taffy 10pk,Gummies,1A40A0100001AF6000122647,091323ARLBDFCOPINE752R,1.78 mg/g,0.84 mg/g,0.0 mg/g,0.02 mg/g,0.88 mg/g,0.0 mg/g,7,Muscle relaxation,Rarely,http://example.com/products/gummies/bedtime-|-raspberry-creme-|-1:2:1-fast-acting-taffy-10pk,"Introducing our delicious Bedtime Raspberry Creme Fast Acting Taffy - the perfect treat to help you unwind and relax after a long day. With a balanced 1:2:1 ratio, each taffy delivers the ideal combination of CBD and THC for a calming experience like no other.

Our taffies are infused with premium quality cannabis extract, carefully crafted to offer potent muscle relaxation benefits. Whether you're looking to ease tension, soothe sore muscles, or simply enjoy a peaceful night"
Hennep,Sales Floor,Sea Salt Caramel Bites | Chocolate 20pk,ChocolateBar,1A40A03000003EA000295869,TBC0817297277,0.0 mg/g,1.63 mg/g,0.0 mg/g,0.15 mg/g,0.18 mg/g,0.0 mg/g,2,Seizure control,Rarely,http://example.com/products/chocolatebar/sea-salt-caramel-bites-|-chocolate-20pk,"Indulge in a delightful treat with our Sea Salt Caramel Bites in Chocolate, now available in a convenient 20-pack! Satisfy your sweet cravings while enjoying the perfect balance of rich chocolate and creamy caramel infused with a touch of sea salt.

But that's not all - our Chocolate Bar is not just a delicious treat, it also offers potential medical benefits in helping with seizure control. So you can enjoy each bite knowing that there could be added health advantages.

With a Customer Rating of"
Hennep,Sales Floor,Wild Berry | Gummies 20pk,Gummies,1A40A03000003EA000293040,FCC0623270870,0.0 mg/g,1.28 mg/g,0.0 mg/g,0.03 mg/g,0.01 mg/g,0.0 mg/g,4,Muscle relaxation,Rarely,http://example.com/products/gummies/wild-berry-|-gummies-20pk,"Introducing Wild Berry Gummies, a delectable way to experience the benefits of muscle relaxation in a fun and convenient form. Perfect for those seeking a soothing effect after a long day or a tough workout, these gummies are designed to help you unwind and destress.

Customer Rating: 4 stars
Purchase Frequency: Rarely

Each pack contains 20 Wild Berry-flavored gummies that offer a burst of fruity flavor with every bite. Made with high-quality ingredients, these gummies deliver"
Hennep,Sales Floor,The Bedtime Indica | 6pk 3.5g,Pre-Roll,1A40A0300001A91000063906,2023_08_18(144)Raffler OG_4 2023_08_28(144))Dual OG #3_3,0.00%,31.50%,0.00%,0.14%,0.00%,30.22%,9,Nausea relief,Rarely,http://example.com/products/pre-roll/the-bedtime-indica-|-6pk-3.5g,"Introducing 'The Bedtime Indica | 6pk 3.5g' pre-roll, a premium cannabis product designed to deliver a restful and soothing experience like no other. Crafted with care and expertise, this product is tailored for those seeking relief from nausea while indulging in a calming evening ritual.

Enhance your bedtime routine with the blissful effects of this indica strain, carefully curated to promote relaxation and tranquility. Perfect for unwinding after a long day, each pre-roll"
Hennep,Sales Floor,Sour Strawberry Lemonade | 1:1 Gummies 20pk,Gummies,1A40A0300002262000032957,1:1SL0523-18,1.06 mg/g,1.1 mg/g,0.0 mg/g,0.04 mg/g,0.02 mg/g,0.0 mg/g,2,Enhanced focus,Often,http://example.com/products/gummies/sour-strawberry-lemonade-|-1:1-gummies-20pk,"Introducing our delectable Sour Strawberry Lemonade 1:1 Gummies 20pk, the perfect blend of sweet and sour flavors in every bite! 

Crafted to perfection, these gummies offer a balanced ratio of CBD to THC at 1:1, providing you with the ideal combination for relaxation and enhanced focus. Whether you're tackling a busy day or winding down after hours, these gummies are designed to support your mental clarity and productivity.

Our Sour Strawberry Lemonade 1"
Hennep,Sales Floor,African Orange | Shake 14g,Flower,1A40A0300001A91000031258,2022-11-10_African Orange,0.00%,24.48%,0.00%,0.11%,0.00%,23.68%,10,Reduced inflammation,Often,http://example.com/products/flower/african-orange-|-shake-14g,"Introducing African Orange Shake 14g, a premium quality flower that exceeds expectations in both taste and effectiveness. Crafted with care and expertise, this exquisite strain is perfect for those seeking relief from inflammation. The vibrant orange hues and citrusy aroma will invigorate your senses and elevate your experience to new heights.

Customers rave about the exceptional quality of African Orange Shake, giving it a perfect rating of 10. This is a testament to its unbeatable flavor profile and potent effects. Frequent buyers"
Hennep,Sales Floor,Cookies & Cream White Chocolate Bar,ChocolateBar,1A40A0300001771000037942,092123CCWB100,0.0 mg/g,2.32 mg/g,0.0 mg/g,0.11 mg/g,0.06 mg/g,0.0 mg/g,9,Pain relief,Never,http://example.com/products/chocolatebar/cookies-&-cream-white-chocolate-bar,"Indulge your senses with our decadent Cookies & Cream White Chocolate Bar, a delightful treat that combines the classic flavors of cookies and cream with the creamy sweetness of white chocolate. Each bite is a luxurious experience that will leave you craving more.

Not just a delicious treat, our Cookies & Cream White Chocolate Bar also offers potential pain relief benefits, making it a tasty and convenient way to help alleviate discomfort. Whether you're looking to soothe sore muscles or simply relax after a long day, this chocolate"
